sl_no,project_name,agency,project_code,legacy_ocms_code,pmgid,state,approval_start_date,original_target_doc,revised_doc,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
1208,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV [PART-3 (6GW)] [BIKANER COMPLEX,PGCIL,N18000403,,,,11-2024,11/2026,N.A.,5969.00,N.A.,101.47,,2025-06,FR_JUNE_2025.pdf
1209,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV [PART-3 (6 GW)] [BIKANER COMPLE,PGCIL,N18000404,,,,11-2024,11/2026,N.A.,5357.00,N.A.,107.14,3.80,2025-06,FR_JUNE_2025.pdf
1210,RAJASTHAN REZ PH-V (PART-1: 4 GW) [SIROHI/NAGAUR] COMPLEX,PGCIL,N18000414,,,,3-2025,3/2027,N.A.,5028.00,N.A.,20.12,,2025-06,FR_JUNE_2025.pdf
1211,"AUGMENTATION AT FATEHGARH-II PS, FATEHGARH-IV PS (SECTION-II) AND BARMER-I",PGCIL,N18000415,,,,3-2025,12/2026,N.A.,404.00,N.A.,4.04,,2025-06,FR_JUNE_2025.pdf
1212,NOKH SOLAR PV PROJECT 735 MW,NTPC,N18000418,,,,3-2022,4/2024,Jul-2025,4189.17,4378.17,213.45,97.00,2025-06,FR_JUNE_2025.pdf
1213,AGRA FORT-BANDIKUI,NCR,N22000553,,,,6-2022,6/2027,May-2026,1389.81,N.A.,42.46,12.00,2025-06,FR_JUNE_2025.pdf
1214,GUDHA THATHANA MITHRI TEST TRACK FOR RDSO,NWR,N22000593,,,,4-2019,3/2025,Jun-2025,528.48,N.A.,357.48,98.00,2025-06,FR_JUNE_2025.pdf
1215,DEDICATED TEST TRACK FOR RDSO (PHASE II),NWR,N22000594,,,,11-2021,11/2026,N.A.,466.42,N.A.,743.91,83.00,2025-06,FR_JUNE_2025.pdf
1216,DOUBLING BETWEEN CHURU- RATANGARH (42.81 KM),NWR,N22000605,,,,2-2023,2/2028,N.A.,422.60,N.A.,216.78,95.00,2025-06,FR_JUNE_2025.pdf
1217,SAWAIMADHOPUR - BYPASS LINE (6.98 KM) (UMBRELLA WORK PB#57/2019- 20/NR),NWR,N22000607,,,,12-2022,6/2026,May-2027,304.00,239.54,133.73,35.00,2025-06,FR_JUNE_2025.pdf
1218,GC OF NATHDWARA - DEVGARH MADARIYA (82.5KM),NWR,N22000608,,,,1-2023,6/2028,Dec-2026,968.92,N.A.,410.60,42.00,2025-06,FR_JUNE_2025.pdf
1219,2L+PS FOR WORK OF NH-325 (BALOTRA TO SANDERAO VIA JALORE) BY CONSTRUCTION OF BYPASSES:(1) ASOTRA- BR,MoRTH,N24001527,,,,12-2021,5/2024,Dec-2025,411.40,N.A.,219.61,72.00,2025-06,FR_JUNE_2025.pdf
1220,WIDENING OF PACHPADRA-BAGUNDI SECTION TO 4 LANE FROM KM 73/60 TO 95/70 OF NH-25 ON EPC MODE IN THE,MoRTH,N24001528,,,,1-2022,12/2024,Aug-2025,194.88,N.A.,105.69,83.00,2025-06,FR_JUNE_2025.pdf
1221,44 LANE DIVIDED CARRIAGEWAY OF BARMER BYPASS OF NH-15 (NEW NH- 68) IN THE STATE OF RAJASTHAN ON EPC M,MoRTH,N24001529,,,,12-2021,8/2024,May-2025,451.66,N.A.,401.78,99.00,2025-06,FR_JUNE_2025.pdf
1222,UPGRADATION TO TWO LANE PAVED SHOULDER OF KOTHUN-LALSOT- KAROLI-DHOLPUR ROAD NH-23 (OLD NH-11B) IN TH,MoRTH,N24001530,,,,12-2021,9/2024,N.A.,150.11,N.A.,82.83,88.00,2025-06,FR_JUNE_2025.pdf
1223,4L GREENFIELD SPUR FROM DELHI- VADODARA GREENFIELD EXPRESSWAY NEAR BANDIKUI TO JAIPUR,NHAI,N24001557,,,,3-2022,11/2024,Aug-2025,1636.15,N.A.,553.96,99.80,2025-06,FR_JUNE_2025.pdf
1224,4L OF KARWAR (KM. 281.980 OF NH-62 NAGAUR ROAD) TO DANGIYAVAS OF JODHPUR RING ROAD (PKG-II),NHAI,N24001558,,,,11-2021,8/2024,Jul-2025,736.75,N.A.,260.95,97.80,2025-06,FR_JUNE_2025.pdf
1225,2L PS SRIGANGANAGAR TO RAISINGHNAGAR (DESIGN CHAINAGE - 0.500 KM TO DESIGN CHAINAGE 101.000 KM) (PACK,NHAI,N24001559,,,,9-2021,6/2024,Apr-2025,672.35,N.A.,328.24,99.50,2025-06,FR_JUNE_2025.pdf
1226,DEOGARH (NEAR DHANDHANIYA)- RAJASTHAN/GUJARAT BORDER (PHASE-I) (AJ/DRGB-PACKAGE-6),NHAI,N24001563,,,,10-2019,8/2023,Jul-2025,846.59,N.A.,167.92,99.25,2025-06,FR_JUNE_2025.pdf
1227,DEOGARH (NEAR DHANDHANIYA)- RAJASTHAN/GUJARAT BORDER (PHASE-I) (AJ/DRGB-PACKAGE-7),NHAI,N24001564,,,,10-2019,7/2023,Jul-2025,662.08,N.A.,128.28,96.50,2025-06,FR_JUNE_2025.pdf
1228,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-10) (CH. 292.950 TO CH. 319.400) [END OF INTERCHA,NHAI,N24001567,,,,11-2019,10/2022,Aug-2025,1272.97,N.A.,527.31,89.63,2025-06,FR_JUNE_2025.pdf
1229,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-14) (CH. 388.420 TO CH. 419.000) [JUNCTION WITH N,NHAI,N24001568,,,,11-2019,5/2023,Jul-2025,1119.35,N.A.,1447.44,99.80,2025-06,FR_JUNE_2025.pdf
1230,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-09) (CH. 247.310 TO CH. 292.950) [JUNCTION WITH M,NHAI,N24001573,,,,11-2019,12/2022,Jul-2025,1658.06,N.A.,157.42,99.90,2025-06,FR_JUNE_2025.pdf
1231,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-15) (CH. 419.000 TO CH.427.300) [JUNCTION WITH NH,NHAI,N24001612,,,,7-2020,1/2024,Dec-2025,1788.69,N.A.,965.50,78.50,2025-06,FR_JUNE_2025.pdf
1232,"CONSTRUCTION OF TWO LANE WITH PAVED SHOULDER FOR FATEHPUR BYPASS, MANDAWA BYPASS AND JHUNJHUNU BYPAS",MoRTH,N24001866,,,,3-2022,8/2024,N.A.,186.29,N.A.,142.69,90.00,2025-06,FR_JUNE_2025.pdf
1233,UPGRADATION OF TWO LANE PAVED SHOULDER FROM SHAHPURA TO THANAGAZI OF NH-248A ON EPC MODE IN THE STAT,MoRTH,N24001867,,,,3-2022,7/2024,N.A.,174.34,N.A.,118.08,90.00,2025-06,FR_JUNE_2025.pdf
1234,Sagwara Bypass and Garhi- Partapur Bypass of NH-927A in the State of Rajasthan.,MoRTH,N24001868,,,,3-2022,8/2025,N.A.,187.65,N.A.,117.57,90.00,2025-06,FR_JUNE_2025.pdf
1235,UP-GRADATION TO 2 LANE WITH PAVED SHOULDER FROM CHARBHUJA AT DESIGN KM 0.00 (EXISTING KM 150.00) TO,MoRTH,N24001927,,,,2-2022,9/2025,N.A.,838.43,N.A.,455.87,99.00,2025-06,FR_JUNE_2025.pdf
1236,CONSTRUCTION OF 2 LANE WITH PAVED SHOULDER NORTHERN BYPASS PHASE-II OF KOTA CITY FROM DESIGN CHAINAG,MoRTH,N24001928,,,,3-2022,4/2025,N.A.,317.74,N.A.,136.23,13.00,2025-06,FR_JUNE_2025.pdf
1237,ADDITIONAL STRUCTURES ON 6LGURGAON-JAIPUR SECTION OF NH- 48 BETWEEN KM 42.700 TO KM 273.00,NHAI,N24002058,,,,8-2022,6/2024,Jul-2025,409.64,N.A.,240.90,81.65,2025-06,FR_JUNE_2025.pdf
1238,UPGRADATION TO 2 LANE WITH PAVED SHOULDER OF HANUMANGARH TO KENCHIYAN OF NH 54 ON EPC MODE IN THE ST,MoRTH,N24002167,,,,3-2024,10/2026,N.A.,334.64,N.A.,128.00,50.00,2025-06,FR_JUNE_2025.pdf
1239,UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM NEECHLI ODEN (NATHDWARA) AT DESIGN KM 88.800 TO BHATE,MoRTH,N24002168,,,,3-2023,10/2026,N.A.,606.61,N.A.,118.00,20.00,2025-06,FR_JUNE_2025.pdf
1240,CONSTRUCTION/ UP-GRATION OF FOUR/TWO LANE WITH PAVED SHOULDER OF NH68 FROM TANOT- RAMGARH BHADASAR-JA,NHAI,N24000795,,,,2-2018,4/2021,Jun-2025,741.86,649.00,663.37,99.99,2025-06,FR_JUNE_2025.pdf
1241,4L+PS OF NH -58 FROM BEAWAR- GOMTI (OLD CH KM 58.245 TO KM. 108.600) PKG-I.,MoRTH,N24001411,,,,12-2020,10/2023,N.A.,379.23,N.A.,268.62,96.10,2025-06,FR_JUNE_2025.pdf
1242,PAKYONG AIRPORT- WIDENING OF BASIC STRIP AT WESTERN SIDE OF RUNWAY CHAINAGE 80M TO 920M I/C SLOPE ST,AAI,N04000110,,,,11-2023,6/2026,N.A.,323.26,N.A.,29.68,12.50,2025-06,FR_JUNE_2025.pdf
1243,"CONSTRUCTION OF SIKKIM UNIVERSITY CAMPUS PHASE-I, PACKAGE -II AT YANGANG SOUTH SIKKIM",Sikkim Universi,N44000002,,,,8-2020,1/2025,N.A.,314.06,N.A.,157.24,80.00,2025-06,FR_JUNE_2025.pdf
1244,TEESTA VI HE PROJECT,NHPC,N18000325,,,,3-2019,3/2024,N.A.,5748.04,N.A.,4424.21,68.17,2025-06,FR_JUNE_2025.pdf
1245,RANGIT IV HE PROJECT,NHPC,N18000326,,,,3-2021,5/2024,N.A.,938.29,N.A.,1524.17,89.45,2025-06,FR_JUNE_2025.pdf
1246,"SEVOK RANGPO, NEFR",NFR,N22000102,,,,4-2008,5/2015,Dec-2027,7876.92,11963.43,8743.57,79.50,2025-06,FR_JUNE_2025.pdf
1247,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER GANGTOK BYPASS ROAD FROM RANIPOOL TO BURTUK (L=23.316KM),MoRTH,N24001442,,,,10-2021,5/2024,Mar-2026,385.15,N.A.,175.16,83.30,2025-06,FR_JUNE_2025.pdf
1248,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER INCLUDING GEOMETRIC IMPROVEMENT FROM KM 0.000 TO KM 16.00,NHIDCL,N24000767,,,,3-2017,4/2022,May-2022,375.80,N.A.,288.56,96.55,2025-06,FR_JUNE_2025.pdf
1249,CONSTUCTION/UPGRADATION OF EXISTING HIGHWAY TO 2 LANE WITH PAVED SHOULDER FROM KM 0.00 TO KM 13.00 N,NHIDCL,N24001251,,,,3-2019,4/2022,N.A.,402.94,N.A.,247.12,76.54,2025-06,FR_JUNE_2025.pdf
1250,CONSTUCTION/UPGRADATION OF EXISTING HIGHWAY TO 2 LANE WITH PAVED SHOULDER FROM KM 13.00 TO KM 25.600,NHIDCL,N24001252,,,,8-2020,4/2023,Nov-2024,295.97,N.A.,249.97,95.71,2025-06,FR_JUNE_2025.pdf
1251,CONSTRUCTION AND UPGRADATION OFEXISTINGROAD TO 2-LANE WITH PAVED SHOULDER INCLUDING GEOMETRIC IMPROV,NHIDCL,N24001261,,,,8-2020,4/2023,N.A.,311.00,N.A.,257.86,95.12,2025-06,FR_JUNE_2025.pdf
1252,CONSTRUCTION AND UPGRADATION OFEXISTINGROAD TO 2-LANE WITH PAVED SHOULDER INCLUDING GEOMETRIC IMPROV,NHIDCL,N24001262,,,,7-2020,4/2023,Aug-2024,345.38,395.59,362.61,89.81,2025-06,FR_JUNE_2025.pdf
1253,CONSTRUCTION OF 2-LANE ROAD WITH PAVED SHOULDER (GREENFIELD ALIGNMENT) OF EXISTING STRETCH BETWEEN L,NHIDCL,N24001322,,,,9-2020,5/2022,Oct-2023,183.31,439.56,355.31,51.85,2025-06,FR_JUNE_2025.pdf
1254,CONSTRUCTION OF 2-LANE SPECIFICATION ROAD WITH PAVED SHOULDER AS REALIGNMENT (GREENFIELD ALIGNMENT),NHIDCL,N24001325,,,,9-2020,5/2023,Aug-2024,262.84,414.20,221.86,49.20,2025-06,FR_JUNE_2025.pdf
1255,REHABILITATION AND UPGRADATION OF EXISTING ROAD TO 2-LANE WITH PAVED SHOULDER INCLUDING GEOMETRIC IM,NHIDCL,N24001327,,,,8-2020,5/2022,Oct-2023,292.80,N.A.,202.92,61.41,2025-06,FR_JUNE_2025.pdf
1256,CONSTRUCTION AND UPGRADATION OF EXISTING ROAD TO 2-LANE WITH PAVED SHOULDER FROM KM27.200 (END OF RO,NHIDCL,N24001336,,,,8-2020,4/2023,Oct-2024,230.45,244.91,206.95,82.80,2025-06,FR_JUNE_2025.pdf
1257,CONSTRUCTION AND UPGRADATION OF EXISTING ROAD TO 2-LANE WITH PAVED SHOULDER FROM NEW ROLEP BRIDGE AT,NHIDCL,N24001337,,,,10-2020,11/2023,Jul-2025,493.42,478.79,308.18,59.49,2025-06,FR_JUNE_2025.pdf
1258,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF NEW GREEN FIELD ALIGNMENT FROM CHOCHENPHERI AT KM 52.0,NHIDCL,N24001338,,,,10-2020,12/2023,Jun-2025,816.79,786.60,332.24,45.90,2025-06,FR_JUNE_2025.pdf
1259,RISHI BORDER- ROLEP- MENLA PKG- 3B,NHIDCL,N24001362,,,,12-2020,2/2024,Dec-2025,410.60,379.30,238.13,74.82,2025-06,FR_JUNE_2025.pdf
1260,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHENNAI",AAI,N04000074,,,,6-2018,2/2022,Jun-2026,2467.00,N.A.,1620.03,71.65,2025-06,FR_JUNE_2025.pdf
1261,DEVELOPMENT OF TUTICORIN AIRPORT,AAI,N04000090,,,,6-2019,3/2022,Apr-2025,380.87,451.74,362.06,100.00,2025-06,FR_JUNE_2025.pdf
1262,JAWAHAR KHANI OPENCAST (JK OC) MINE,SCCL,N06000259,,,,12-2021,3/2025,N.A.,297.88,N.A.,46.37,20.00,2025-06,FR_JUNE_2025.pdf
1263,50 MW SOLAR POWER PROJECT - NEYVELI MINED OUT AREA,NLC,N06000279,,,,5-2023,6/2025,Nov-2025,218.03,N.A.,148.89,40.00,2025-06,FR_JUNE_2025.pdf
1264,CONSTRUCTION OF 726 Nos RESIDENTIAL QUARTERS CHENNAI,CPWD FOR FINANC,N28000109,,,,11-2017,11/2021,N.A.,348.77,N.A.,223.39,100.00,2025-06,FR_JUNE_2025.pdf
1265,25.5 MW WIND POWER PROJECT AT KAYATHAR IN TAMILNADU,NALCO,N10000014,,,,9-2017,6/2019,Dec-2025,166.62,163.17,135.63,65.00,2025-06,FR_JUNE_2025.pdf
1266,IRUGUR-DEVANGONTHI POL PIPELINE,BPCL,N16000234,,,,11-2012,2/2017,Oct-2025,678.00,1732.00,642.76,64.10,2025-06,FR_JUNE_2025.pdf
1267,CBR 9 MMTPA PROJECT,CPCL,N16000434,,,,1-2021,6/2025,N.A.,31580.00,31580.00,1326.17,10.20,2025-06,FR_JUNE_2025.pdf
1268,"GRASS ROOT POL TERMINAL AT VALLUR, CHENNAI",IOCL,N16000438,,,,1-2022,7/2024,Jun-2025,827.00,887.71,580.94,85.90,2025-06,FR_JUNE_2025.pdf
1269,LAYING OF POL PIPELINES IN COMMON CORRIDOR FOR PROPOSED GRASS ROOT TERMINAL AT VALLUR (CHENNAI),IOCL,N16000455,,,,1-2022,7/2024,May-2026,829.00,N.A.,259.48,60.16,2025-06,FR_JUNE_2025.pdf
1270,CGD PROJECT AT DHARMAPURI AND KRISHNAGIRI DISTRICTS,IOCL,N16000486,,,,3-2022,3/2030,N.A.,501.00,N.A.,112.66,5.30,2025-06,FR_JUNE_2025.pdf
1271,CGD PROJECTS AT THE NILGIRIS AND ERODE DISTRICTS,BPCL,N16000521,,,,12-2022,3/2030,N.A.,3685.00,N.A.,213.89,11.20,2025-06,FR_JUNE_2025.pdf
1272,TRANSMISSION SYSTEM UNDER ISTS FOR EVACUATION OF POWER FROM KUDANKULAM UNIT - 3 AND 4 (2X1000 MW),PGCIL,N18000408,,,,1-2025,7/2028,N.A.,548.00,N.A.,9.32,2.50,2025-06,FR_JUNE_2025.pdf
1273,"EXTENSION OF MRTS FROM VELACHERY TO STN. THOMAS, MTP",MRTP,N22000028,,,,4-2006,7/2024,Aug-2025,734.01,981.83,640.43,98.00,2025-06,FR_JUNE_2025.pdf
1274,TIDIVANAM-NAGARI (NL),SR,N22000085,,,,9-2006,9/2016,Mar-2028,3631.34,3631.34,873.31,15.00,2025-06,FR_JUNE_2025.pdf
1275,CHENNAI BEACH-CHENNAI EGMORE (4.3 KM) (UMBRELLA WORK PB#57/2019- 20/NR),SR,N22000568,,,,3-2022,3/2026,Feb-2025,359.60,274.20,305.93,95.00,2025-06,FR_JUNE_2025.pdf
1276,MORAPPUR-DHARMAPURI,SR,N22000618,,,,2-2019,3/2028,Mar-2028,358.95,N.A.,40.09,,2025-06,FR_JUNE_2025.pdf
1277,NAGAPATTINAM THIRUTURAIPUNDI (38KM)- NEW LINE PROJECT,SR,N22000626,,,,7-2008,3/2026,Mar-2027,677.12,N.A.,146.95,20.00,2025-06,FR_JUNE_2025.pdf
1278,FOUR LANING OF PUDUCHERRY (KM.29/000) TO POONDIYANKUPPAM (KM.67/000) SECTION OF NH-45A ON HAM UNDER,NHAI,N24001429,,,,3-2018,11/2021,Jul-2025,1294.47,1588.40,867.34,98.72,2025-06,FR_JUNE_2025.pdf
1279,FOUR LANING OF SATTANATHAPURAM (KM.123/800) TO NAGAPATTINAM (KM.179/555) SECTION OF NH-45A ON HAM UN,NHAI,N24001431,,,,3-2018,10/2020,Jan-2026,1872.68,2899.77,1341.26,65.00,2025-06,FR_JUNE_2025.pdf
1280,CONSTRUCTION OF 4 LANE WITH PAVED SHOULDERS THIRUVAYARU BYPASS IN BETWEEN EXISTING KM.55/926 TO 62/6,MoRTH,N24001455,,,,2-2022,8/2022,N.A.,191.33,207.97,100.42,100.00,2025-06,FR_JUNE_2025.pdf
1281,4-LANING OF KAMALAPURAM - ODDANCHATRAM SECTION OF NH-209,NHAI,N24001601,,,,1-2019,1/2023,Nov-2025,1051.69,N.A.,589.46,81.87,2025-06,FR_JUNE_2025.pdf
1282,4-LANING OF MADATHUKULAM - POLLACHI SECTION OF NH-209 (NEW NH-83),NHAI,N24001602,,,,1-2019,12/2022,Nov-2025,1409.38,N.A.,660.29,91.20,2025-06,FR_JUNE_2025.pdf
1283,"4-LANING OF MELUR - PILLAYARPATTI - KARAIKUDI SECTION OF NH-338, NH- 36, NH-383",NHAI,N24001605,,,,6-2018,3/2022,N.A.,1103.86,N.A.,568.15,87.00,2025-06,FR_JUNE_2025.pdf
1284,4-LANING OF VADIPPATTI - THAMARAIPATTI SECTION OF NH-744A (MADURAI RING ROAD),NHAI,N24001606,,,,12-2018,3/2022,Sep-2025,854.94,N.A.,400.13,80.30,2025-06,FR_JUNE_2025.pdf
1285,BALANCE WORKS OF FOUR LANE FROM KM 43+950 (THIRUVALLUR BYPASS) TO KM 61+470 (VEPPAMPATTU BYPASS) PAS,NHAI,N24001692,,,,1-2022,9/2024,Feb-2025,467.99,N.A.,113.05,84.34,2025-06,FR_JUNE_2025.pdf
1286,FOUR LANING OF NERALURU TO THORAPALLI AGRAHARAM SECTION OF NH-844 (PKG-I) FROM KM.0+000 TO KM.23+350,NHAI,N24001693,,,,9-2021,10/2024,N.A.,1751.18,N.A.,49.69,,2025-06,FR_JUNE_2025.pdf
1287,FOUR LANING OF THORAPALLI AGRAHARAM TO JITTANDAHALLI SECTION OF NH-844 (PKG-II) FROM KM.23+350 TO KM,NHAI,N24001694,,,,2-2019,12/2023,Dec-2024,1243.57,N.A.,171.63,,2025-06,FR_JUNE_2025.pdf
1288,FOUR LANING OF JITTANDAHALLI TO DHARMAPURI SECTION OF NH-844 (PKG-III) FROM KM.60+100 TO KM.94+460,NHAI,N24001696,,,,2-2019,8/2023,Dec-2024,1291.37,N.A.,215.02,,2025-06,FR_JUNE_2025.pdf
1289,THOPPUR METTUR BHAVANI ERODE SECTION OF NH 544H FOR A LENGTH OF 85 KM,NHAI,N24001716,,,,7-2022,8/2023,Dec-2024,186.50,242.40,34.33,100.00,2025-06,FR_JUNE_2025.pdf
1290,BANGALORE CHENNAI EXPRESSWAY PHASE-III PACKAGE III (ARAKKONAM TO KANCHEEPURAM) FROM KM 204.500 TO K,NHAI,N24001717,,,,11-2020,8/2024,N.A.,1155.49,1525.10,489.94,53.56,2025-06,FR_JUNE_2025.pdf
1291,BANGALORE CHENNAI EXPRESSWAY PHASE-III PACKAGE II (WALAJAHPET TO ARAKKONAM) FROM KM 180.000 TO KM 2,NHAI,N24001718,,,,12-2020,7/2024,N.A.,843.48,1077.40,434.49,91.26,2025-06,FR_JUNE_2025.pdf
1292,4L BANGALORE-CHENNAI EXPRESSWAY FROM KM. 230.000 TO KM. 261.705 OF KANCHEPURAM TO SRIPERUMBUDUR SECT,NHAI,N24001719,,,,2-2021,7/2024,N.A.,2948.31,3605.73,820.23,78.11,2025-06,FR_JUNE_2025.pdf
1293,BANGALORE CHENNAI EXPRESSWAY PHASE-III ? PACKAGE I (GUDIPALA TO WALAJAJHPET) FROM KM 156.000 TO KM 1,NHAI,N24001720,,,,10-2020,5/2024,N.A.,1023.91,1438.62,635.04,86.22,2025-06,FR_JUNE_2025.pdf
1294,FOUR LANING OF MAMALLAPURAM TO MUGAIYUR SECTION OF NH332A FROM KM 0.000 TO KM 31.000,NHAI,N24001721,,,,2-2019,5/2024,Aug-2025,1008.99,1360.53,324.81,50.33,2025-06,FR_JUNE_2025.pdf
1295,6L OF MADURAVOYAL TO SRIPERUMBUDUR SECTION FROM KM. 13.800 TO KM. 37.000 OF NH-4 THROUGH STATE HIGH,NHAI,N24001722,,,,11-2021,2/2023,N.A.,463.44,463.07,334.80,99.00,2025-06,FR_JUNE_2025.pdf
1296,KARAIPETTAI TO WALAJAPET FROM KM 71.015 TO 107.091,NHAI,N24001723,,,,10-2018,2/2021,N.A.,707.90,766.51,542.69,91.00,2025-06,FR_JUNE_2025.pdf
1297,6L OF SRIPERUMBUDUR TO KARAIPETTAI FROM KM 37.000 TO KM 71.015 OF NH 48,NHAI,N24001725,,,,1-2019,5/2021,N.A.,819.89,1314.82,419.84,57.32,2025-06,FR_JUNE_2025.pdf
1298,CONSTRUCTION OF BYPASS TO GUDIYATHAM TOWN IN KM 23/100 ? 29/250 INCLUDING LA AND SHIFTING OF NH-234,MoRTH,N24001828,,,,1-2022,11/2024,N.A.,221.03,243.95,176.50,100.00,2025-06,FR_JUNE_2025.pdf
1299,FOUR LANING OF OTTANCHATRAM TO PALANI SECTION FROM KM 30/700 TO KM 55/000 OF NH 209(NEW NH-83) INCLU,MoRTH,N24001829,,,,10-2022,11/2024,N.A.,172.15,N.A.,163.82,100.00,2025-06,FR_JUNE_2025.pdf
1300,CONSTRUCTION OF STRR (WEST SIDE)-NH948A-BALAGONDAPALLI (TAMIL NADU) TO KARNATAKA/TAMIL NADU BORDER F,NHAI,N24001968,,,,4-2022,5/2025,N.A.,1260.74,N.A.,487.46,44.95,2025-06,FR_JUNE_2025.pdf
1301,4L OF THIRUMANGALAM TO VADUGAPATTI SECTION FROM KM 0.000 TO KM 36.000 OF NH-744,NHAI,N24002084,,,,3-2022,2/2025,N.A.,1076.97,N.A.,540.46,87.42,2025-06,FR_JUNE_2025.pdf
1302,CONSTRUCTION OF NEW DOUBLE TIER 4 LANE ELEVATED CORRIDOR FROM CHENNAI PORT TO MADURAVOYAL IN CHENNAI,NHAI,N24002107,,,,3-2023,5/2026,N.A.,1382.00,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
1303,CONSTRUCTION OF NEW DOUBLE TIER 4L ELEVATED CORRIDOR FROM CHENNAI PORT TO MADURAVOYAL IN CHENNAI DIS,NHAI,N24002108,,,,3-2023,5/2026,N.A.,1618.96,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
1304,CONSTRUCTION OF NEW DOUBLE TIER 4L ELEVATED CORRIDOR FROM CHENNAI PORT TO MADURAVOYAL IN CHENNAI DIS,NHAI,N24002109,,,,3-2023,5/2026,N.A.,1301.37,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
1305,CONSTRUCTION OF NEW DOUBLE TIER 4L ELEVATED CORRIDOR FROM CHENNAI PORT TO MADURAVOYAL IN CHENNAI DIS,NHAI,N24002110,,,,3-2023,5/2026,N.A.,1207.40,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
1306,FOUR LANING OF MUGAIYUR TO MARAKKANAM SECTION OF NH-332A FROM KM 31.000 TO KM 62.000,NHAI,N24002111,,,,2-2019,12/2025,May-2026,825.94,1116.13,344.92,40.55,2025-06,FR_JUNE_2025.pdf
1307,SIX LANING OF TUTICORIN PORT ROAD SECTION OF NH-7A (NEW NH- 138) FROM KM 0.000 TO KM 6.140 [EFFECTIVE,NHAI,N24002112,,,,3-2023,7/2024,N.A.,200.30,N.A.,113.71,93.11,2025-06,FR_JUNE_2025.pdf
1308,4L OF LEFT-OVER WORKS INCLUDING ADDITIONAL STRUCTURES FROM KERALA/TAMIL NADU BORDER TO KANYAKUMARI S,NHAI,N24002113,,,,3-2023,8/2025,N.A.,1141.78,N.A.,466.20,47.86,2025-06,FR_JUNE_2025.pdf
1309,4L OF VADUGAPATTI TO THERKUVENGANALLUR (RAJAPALYAM) SECTION FROM KM 36.000 TO KM 71.600 OF NH744 UND,NHAI,N24002114,,,,2-2022,4/2025,N.A.,1097.59,N.A.,705.17,97.80,2025-06,FR_JUNE_2025.pdf
1310,WIDENING TO 4L/4L+PS AND STRENGTHENING IN SELECTED STRETCHES FROM KM 0/8 TO 50/570 OF NH 532 INCLUD,MoRTH,N24002151,,,,3-2022,1/2024,N.A.,257.14,294.70,277.57,90.00,2025-06,FR_JUNE_2025.pdf
1311,WIDENING FROM 2L+PS TO 4L/4L+PS AND IMPROVEMENTS THE SELECTED STRETHCES FROM KM 26/5 - 81/2 INCLU,MoRTH,N24002152,,,,3-2023,11/2023,N.A.,274.84,N.A.,265.83,100.00,2025-06,FR_JUNE_2025.pdf
1312,"STRENGTHENING OF 2L+PS FROM KM 17/8 ? 18/2, CONSTRUCTION OF 2L+PS FROM KM 18/2 TO KM 20/0 AND CONSTR",MoRTH,N24002153,,,,3-2023,2/2024,N.A.,169.68,N.A.,145.29,100.00,2025-06,FR_JUNE_2025.pdf
1313,CONSTRUCTION OF BYPASS TO MADURAI - ACHAMBATHU - VIRATIPATHU IN KM 6/850 - 10/382 OF NH 49 EXTN. (NE,MoRTH,N24002165,,,,3-2022,8/2026,N.A.,238.97,260.07,118.00,50.00,2025-06,FR_JUNE_2025.pdf
1314,ACCESS CONTROLLED HIGHWAY OF 4 LANE WITH PAVED SHOULDERS FROM TIRUVALLUR (DESIGN CHAINAGE KM 17+56),NHAI,N24002216,,,,12-2024,12/2026,N.A.,1376.10,N.A.,39.00,8.74,2025-06,FR_JUNE_2025.pdf
1315,FOUR LANNING OF CHOLOPURAM- THANJAVUR,NHAI,N24000697,,,,8-2017,9/2020,N.A.,1176.37,N.A.,1325.06,99.50,2025-06,FR_JUNE_2025.pdf
1316,4-LANNING OF STHIYATHOPU- CHOLOPURAM,NHAI,N24000708,,,,9-2017,8/2020,Jul-2025,1227.87,N.A.,1436.16,99.50,2025-06,FR_JUNE_2025.pdf
1317,FOUR LANINIG OF CHETTIKULAM TO NATHAM SECTION OF NH-785 FROM CHETTIKULUM (KM 7.300) TO NATHAM (KM. 3,NHAI,N24000826,,,,3-2018,10/2022,Jul-2025,505.35,N.A.,376.61,99.75,2025-06,FR_JUNE_2025.pdf
