sl_no,project_name,agency,project_code,legacy_ocms_code,pmgid,state,approval_start_date,original_target_doc,revised_doc,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
857,VADODARA MUMBAI EXPRESSWAY (PHASE II - PKG XII) [KM. 50.700 TO KM. 77.000] (MASVAN - GANJAD),NHAI,N24001505,,,,3-2022,3/2024,Jun-2025,1549.02,N.A.,699.00,87.24,2025-06,FR_JUNE_2025.pdf
858,VADODARA MUMBAI EXPRESSWAY (PHASE II - PKG XIII) [KM. 26.582 TO KM. 50.700] (SHIRSAD - MASVAN),NHAI,N24001506,,,,2-2022,2/2024,Jun-2025,2747.00,N.A.,1130.30,84.22,2025-06,FR_JUNE_2025.pdf
859,VADODARA MUMBAI EXPRESSWAY (PHASE II - PKG XIV) [KM. 3.000 TO KM. 20.200 OF SPUR] (SHIRSAD - AKLOLI),NHAI,N24001507,,,,11-2022,5/2024,Jun-2025,1124.00,N.A.,483.84,75.15,2025-06,FR_JUNE_2025.pdf
860,VADODARA MUMBAI EXPRESSWAY (PHASE II - PKG XVI) [KM. 43.000 TO KM. 69.800 OF SPUR] (AMNE - BHOJ),NHAI,N24001508,,,,11-2022,10/2024,Jun-2025,1450.00,N.A.,718.65,86.02,2025-06,FR_JUNE_2025.pdf
861,VADODARA MUMBAI EXPRESSWAY (PHASE II - PKG XV) [KM. 20.200 TO KM. 43.000 OF SPUR] (AKLOLI - AMNE),NHAI,N24001521,,,,11-2022,10/2024,Jul-2025,990.00,N.A.,406.91,77.38,2025-06,FR_JUNE_2025.pdf
862,6L OF KAGAL-SATARA SECTION FROM KM 592.240 TO KM 658.000 OF NH-48 (PKG-I),NHAI,N24001546,,,,1-2023,1/2025,N.A.,1025.20,N.A.,457.33,44.61,2025-06,FR_JUNE_2025.pdf
863,BALANCE WORKS OF 4L PANVEL- INDAPUR SECTION OF NH-66 (OLD NH- 17) FROM KM 42.300 (KASU) TO KM 84.600 (,NHAI,N24001607,,,,10-2022,5/2024,Dec-2025,332.00,N.A.,283.14,74.75,2025-06,FR_JUNE_2025.pdf
864,VADODARA MUMBAI EXPRESSWAY (PHASE II - PKG XVII) [KM. 69.800 TO KM. 79.783 OF SPUR] (BHOJ - MORBE),NHAI,N24001608,,,,9-2021,7/2025,N.A.,2208.68,N.A.,565.20,76.26,2025-06,FR_JUNE_2025.pdf
865,BALANCE WORK OF 4 LANING OF PANVEL TO INDAPUR SECTION OF NH- 66(OLD NH- 17) FROM KM 0.000 (PANVEL) TO,NHAI,N24001609,,,,1-2023,12/2023,Jun-2025,151.26,N.A.,153.77,89.80,2025-06,FR_JUNE_2025.pdf
866,4L OF EXISTING 2/4L STRETCH FROM LONAND TO DIVE GHAT (KM 166.400 TO KM 220.900 ) OF MOHOL ? ALANDI S,NHAI,N24001610,,,,1-2022,5/2024,Mar-2025,1833.73,N.A.,554.81,96.94,2025-06,FR_JUNE_2025.pdf
867,FOUR LANING OF AURANGABAD- PAITHAN SECTION OF NH-752E ON EPC MODE IN THE STATE OF MAHARASHTRA .,NHAI,N24001795,,,,10-2022,7/2024,Jun-2025,490.40,N.A.,275.78,96.00,2025-06,FR_JUNE_2025.pdf
868,4L OF RAJURA-KORPANA-ADILABAD ROAD UPTO M.S. BORDER FROM KM 32.910 TO KM 89.090 OF NH-353B,NHAI,N24001796,,,,3-2022,10/2024,Apr-2025,1013.33,1013.33,355.07,62.01,2025-06,FR_JUNE_2025.pdf
869,6L OF WAINGANGA BRIDGE - BHANDARA (INCLUDING BHANDARA BYPASS) SECTION FROM KM 485.000 TO KM 499.800,NHAI,N24001797,,,,10-2021,1/2024,N.A.,815.77,N.A.,732.70,100.00,2025-06,FR_JUNE_2025.pdf
870,4L MITIGATION MEASURE STRUCTURES ON CH/MH BORDER TO WAINGANGA BRIDGE SECTION OF NH- 53,NHAI,N24001798,,,,2-2021,11/2023,N.A.,540.21,N.A.,457.12,100.00,2025-06,FR_JUNE_2025.pdf
871,4L OF NAGPUR-KATOL SECTION FROM KM. 13.00 TO KM. 62.900 OF NH-353J,NHAI,N24001799,,,,2-2021,10/2023,N.A.,1166.96,N.A.,1098.21,81.17,2025-06,FR_JUNE_2025.pdf
872,BAL. WORKS OF FAGNE (KM. 510.000) TO MAHARASHTRA/GUJARAT BORDER (KM. 650.794),NHAI,N24001804,,,,12-2019,9/2022,Jun-2024,1654.07,N.A.,887.38,97.66,2025-06,FR_JUNE_2025.pdf
