sl_no,project_code,legacy_ocms_code,pmgid,project_name,state,implementing_agency,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
564,,,,Petlad Bhadran 23 Kms (Western Railway) (611945),Gujarat,,2022-05,2030-05,2030-05,307.11,307.11,13.58,17,2025-10,FlashReport_October_2025.pdf
565,,,,Samlaya Timba Road 54 km (PCE/WR) (611970),Gujarat,,2023-02,2030-03,2030-03,670.17,670.17,44.8,12,2025-10,FlashReport_October_2025.pdf
566,,,,Samni Jambusar 24 km (PCE/WR) (611971),Gujarat,,2022-05,2030-03,2030-03,350,349.93,67.73,31,2025-10,FlashReport_October_2025.pdf
567,,,,Western Railway Samakhiali Gandhidham Quadrupiling 53 Kms (Western Railway (WR) - II) (611974),Gujarat,,2023-08,2026-12,2027-06,1430,1430,220.11,20,2025-10,FlashReport_October_2025.pdf
568,PCE/WR,611977,,Dahod Creation of Infrastructure facilities for 9000 HP Electric locomotives,Gujarat,Manufacturing at,2022-05,2025-02,,487,487,108.69,0,2025-10,FlashReport_October_2025.pdf
569,,,,Dahod Rolling Stock Workshop Provision of Infrastructure for CBS at (PCE/WR) (611978),Gujarat,,2022-11,2025-03,,158,158,47.31,0,2025-10,FlashReport_October_2025.pdf
570,,,,Sabarmati Setting up of Maintenance Facilities for Train Sets Phase ii (PCE/WR) (611979),Gujarat,,2023-01,2025-06,,250,250,0,0,2025-10,FlashReport_October_2025.pdf
571,,,,4th LINE BETWEEN BAREJADI NANDEJ-SANAND-AHMEDABAD BYPASS (Western Railway (WR) - II) (612072),Gujarat,,2023-02,2027-03,2028-07,961.67,961.67,335.93,17,2025-10,FlashReport_October_2025.pdf
572,Rail Land Development Authority,613786,,Redevelopment of Ahmedabad railway station and associated infrastructure on,Gujarat,"engineering, procurement and construction mode",2023-01,2028-03,,2379,2379,726.91,19,2025-10,FlashReport_October_2025.pdf
573,,,,Miyagam-Karjan-Dabhoi-Samlaya [GC] (Western Railway [WR] - II) (705458),Gujarat,,2017-01,2021-03,2026-12,483.88,1039.13,621.53,41,2025-10,FlashReport_October_2025.pdf
574,,,,Modasa-Shamlaji Road Railway Line Project (Western Railway (WR) - II) (706757),Gujarat,,2012-09,2025-03,2027-03,262,262,337.45,62,2025-10,FlashReport_October_2025.pdf
575,,,,Rajkot - Kanalus Doubling Project [111.2 Kms] (Western Railway (WR) - II) (706763),Gujarat,,2021-10,2026-10,2026-10,1080.58,1080.58,822.77,77,2025-10,FlashReport_October_2025.pdf
576,,,,NADIAD-PETLAD [37.26 KM] (Railway) (709812),Gujarat,,2022-05,2030-06,2030-06,461.91,461.91,92.88,7,2025-10,FlashReport_October_2025.pdf
577,Western Railway (WR) - II,709813,,NEW BG LINE INTERSECTION [5 NOS] BETWEEN GERATPUR-SANAND &,Gujarat,BOTAD-AHMEDABAD [16.51 KM],2022-10,2028-06,2027-10,437.21,437.21,19.06,17,2025-10,FlashReport_October_2025.pdf
578,,,,Bhiwani - Dobh Bahali Doubling Project [42.30 Km] (North Western Railway [NWR]) (611884),Haryana,,2023-02,2028-02,2028-02,471,471,215.11,65,2025-10,FlashReport_October_2025.pdf
579,,,,Doubling between Pradhankunta-Patherih-Bhojudih of East Central Railway (East Central Railway [ECR] - I) (617372),Jharkhand,,2022-11,2025-12,,349.22,349.22,106.11,70,2025-10,FlashReport_October_2025.pdf
580,,,,Gomoh - Flyover for DN trains (East Central Railway [ECR] - I) (705765),Jharkhand,,2018-01,2026-03,2026-03,686,686,574.14,59,2025-10,FlashReport_October_2025.pdf
581,,,,Lodhma - Piska - Link Line bypassing Hatia/Ranchi with Y connection (South Eastern Railway [SER] - I) (705785),Jharkhand,,2021-08,2026-06,2027-05,473,473,288.59,5,2025-10,FlashReport_October_2025.pdf
582,,,,Pradhan Kuntha Jn Line Doubling Project (East Central Railway [ECR] - I) (706837),Jharkhand,,2022-11,2027-11,2027-11,349.22,349.22,106.11,62,2025-10,FlashReport_October_2025.pdf
583,,,,Construction of New BG line between Hassan to Belur [27 Km] (South Western Railway [SWR] - II) (400023),Karnataka,,2019-03,2028-04,2027-04,749,749,0,0,2025-10,FlashReport_October_2025.pdf
584,,,,Yeshvanthpur - Channasandra Doubling Project [21.70 Km] (Karnataka Rail Infrastructure Development Company Limited [K-RIDE]) (703585),Karnataka,,2019-04,2024-03,2026-03,314.1,683.57,152.31,53,2025-10,FlashReport_October_2025.pdf
585,,,,New Railway Line between Ginigera and Raichur [165.57 km] (South Western Railway [SWR] - II) (705434),Karnataka,,2008-03,2019-03,2027-03,2565,3034.98,2105.62,66,2025-10,FlashReport_October_2025.pdf
586,,,,Gadag-Wadi New Railway Line [257 km] (South Western Railway [SWR] - II) (705490),Karnataka,,2013-04,2027-03,2027-12,2842,6700,1400.27,30,2025-10,FlashReport_October_2025.pdf
587,,,,Kadur - Chickamagalur - Sakleshpur [93km] (South Western Railway [SWR] - II) (705492),Karnataka,,2014-01,2025-06,2025-12,825,825,699.12,83,2025-10,FlashReport_October_2025.pdf
588,,,,Bagalkot-Kudachi New Railway Line [142 km] (South Western Railway [SWR] - II) (705495),Karnataka,,2013-10,2027-03,2027-01,1378,1649,716.65,35,2025-10,FlashReport_October_2025.pdf
589,,,,Tumkur-Chitradurga-Davangere New Rail Line Project [191 km] (South Western Railway [SWR] - II) (705496),Karnataka,,2013-10,2019-03,2027-12,1876,1876,436.37,13,2025-10,FlashReport_October_2025.pdf
590,,,,Bangalore-Whitefield-Bangalore City-Krishnarajapuram [23.08 km] - Quadrupling (South Western Railway [SWR] - II) (705663),Karnataka,,2018-02,2026-02,2026-02,493,493,252.45,82,2025-10,FlashReport_October_2025.pdf
591,,,,SHIMOGA - SHIKARIPURA - RANEBENNUR [96 Km] (South Western Railway [SWR] - II) (705761),Karnataka,,2019-09,2027-12,2028-06,1454,1454,71.89,11,2025-10,FlashReport_October_2025.pdf
592,,,,Belgaum-Dharwad via Kittur [73.10Km] (South Western Railway [SWR] - II) (706835),Karnataka,,2020-09,2027-12,2029-03,1591,1591,0.38,0,2025-10,FlashReport_October_2025.pdf
